step,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
0,-0.13644454592710453,0.6458269190060464,0.6675535556729986,0.20153368431605112,0.18986284708370582,0.03315452254827518,0.751715086845242,-0.14349114303607052
1,0.16233334210439937,0.9110798152892831,0.9438850355921091,0.41755442038066026,0.04654495388712333,-0.1494531208253189,1.0,-0.4351405289990959
2,-0.0333171820023669,1.0,1.0,0.6381288239989193,0.522978670718957,-0.07636890434549833,0.7083506140369747,0.5648594710009041
3,-0.2289677061091332,1.0,1.0,0.8587032276171784,0.9994123875507908,-0.00328468786567776,0.41670122807394944,1.0
4,0.7710322938908668,1.0,1.0,1.0,0.8596412271637401,0.08685751389713349,0.7154791161054534,0.8043494758932338
5,1.0,1.0,1.0,1.0,0.7198700667766895,0.1769997156599447,1.0,0.6086989517864676
6,0.9561765753853313,0.9561765753853313,0.9561765753853313,0.9561765753853313,0.6760466421620208,0.13317629104527595,0.9561765753853313,0.5648755271717989
7,0.9123531507706626,0.9123531507706626,0.9123531507706626,0.9123531507706626,0.6322232175473521,0.0893528664306072,0.9123531507706626,0.5210521025571302
8,0.8685297261559939,0.8685297261559939,0.8685297261559939,0.8685297261559939,0.5883997929326834,0.04552944181593846,0.8685297261559939,0.47722867794246143
9,0.8247063015413252,0.8247063015413252,0.8247063015413252,0.8247063015413252,0.5445763683180147,0.0017060172012697133,0.8247063015413252,0.43340525332779267
10,0.7808828769266565,0.7808828769266565,0.7808828769266565,0.7808828769266565,0.500752943703346,-0.04211740741339903,0.7808828769266565,0.3895818287131239
11,0.8710250786894678,1.0,1.0,1.0,0.7855442877633106,0.957882592586601,0.5982752335530624,0.46266604519294446
12,0.9611672804522791,1.0,1.0,1.0,1.0,1.0,0.41566759017946836,0.5357502616727651
13,0.9173438558376104,0.9561765753853313,0.9561765753853313,0.9561765753853313,0.9561765753853313,0.9561765753853313,0.3718441655647996,0.4919268370580963
14,0.8735204312229417,0.9123531507706626,0.9123531507706626,0.9123531507706626,0.9123531507706626,0.9123531507706626,0.32802074095013084,0.44810341244342755
15,0.829697006608273,0.8685297261559939,0.8685297261559939,0.8685297261559939,0.8685297261559939,0.8685297261559939,0.2841973163354621,0.4042799878287588
16,0.7858735819936042,0.8247063015413252,0.8247063015413252,0.8247063015413252,0.8247063015413252,0.8247063015413252,0.24037389172079332,0.36045656321409003
17,0.7420501573789355,0.7808828769266565,0.7808828769266565,0.7808828769266565,0.7808828769266565,0.7808828769266565,0.19655046710612456,0.31663313859942127
18,0.6982267327642668,0.7370594523119878,0.7370594523119878,0.7370594523119878,0.7370594523119878,0.7370594523119878,0.1527270424914558,0.2728097139847525
19,0.6544033081495981,0.6932360276973191,0.6932360276973191,0.6932360276973191,0.6932360276973191,0.6932360276973191,0.10890361787678705,0.22898628937008375
20,0.6105798835349294,0.6494126030826504,0.6494126030826504,0.6494126030826504,0.6494126030826504,0.6494126030826504,0.06508019326211831,0.185162864755415
21,0.5667564589202607,0.6055891784679817,0.6055891784679817,0.6055891784679817,0.6055891784679817,0.6055891784679817,0.02125676864744956,0.14133944014074623
22,0.522933034305592,0.561765753853313,0.561765753853313,0.561765753853313,0.561765753853313,0.561765753853313,-0.022566655967219185,0.09751601552607748
23,0.821710922337096,0.8270186501365496,0.8380972337724235,0.7777864899179221,0.41844786065673045,0.37915811047971887,0.9774333440327808,-0.19413337043694784
